loc,entity,risk_score,complexity,revisions,risk_factor
147,packages/scheduler/npm/umd/scheduler.profiling.min.js,1.49,5,2,medium
64,scripts/flow/config/flowconfig,1.49,3,3,medium
285,packages/react-native-renderer/src/ReactNativeTypes.js,1.49,4,2,medium
59,packages/react-reconciler/src/ReactFiberAct.new.js,1.48,3,3,medium
288,packages/react-reconciler/src/ReactFiberTreeContext.old.js,1.48,1,3,medium
58,packages/react-devtools-extensions/utils.js,1.48,3,3,medium
261,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementContext.js,1.48,4,2,medium
3877,packages/react-refresh/src/__tests__/ReactFresh-test.js,1.47,1,2,medium
242,packages/shared/invokeGuardedCallbackImpl.js,1.46,4,2,medium
242,packages/react-devtools-timeline/src/content-views/ThrownErrorsView.js,1.46,4,2,medium
489,packages/react-reconciler/src/ReactFiberHotReloading.new.js,1.45,3,2,medium
115,scripts/babel/transform-react-version-pragma.js,1.45,5,2,medium
482,packages/react/src/__tests__/ReactElementJSX-test.js,1.45,3,2,medium
111,packages/react-reconciler/src/ReactFiberHostContext.old.js,1.45,5,2,medium
111,packages/react-reconciler/src/ReactFiberHostContext.new.js,1.45,5,2,medium
110,packages/react-devtools-shared/src/PerformanceLoggingUtils.js,1.45,5,2,medium
27,packages/react-is/package.json,1.45,2,4,medium
208,packages/react-devtools-shared/src/hooks/SourceMapMetadataConsumer.js,1.44,4,2,medium
102,scripts/print-warnings/print-warnings.js,1.44,5,2,medium
45,packages/react-server-dom-relay/src/ReactFlightDOMRelayServer.js,1.43,3,3,medium
100,scripts/rollup/modules.js,1.43,5,2,medium
194,packages/react-devtools-shared/src/devtools/views/utils.js,1.43,4,2,medium
91,packages/eslint-plugin-react-hooks/CHANGELOG.md,1.43,2,3,medium
98,packages/react-dom/src/server/ReactDOMLegacyServerImpl.js,1.43,5,2,medium
185,packages/react/src/ReactLazy.js,1.43,4,2,medium
2653,packages/react-dom/src/__tests__/ReactErrorBoundaries-test.internal.js,1.42,1,2,medium
376,packages/react-devtools-timeline/src/content-views/ReactMeasuresView.js,1.42,3,2,medium
40,packages/react/src/forks/ReactSharedInternals.umd.js,1.41,3,3,medium
360,packages/react-devtools-timeline/src/content-views/SuspenseEventsView.js,1.41,3,2,medium
169,packages/react-server/src/ReactFizzTreeContext.js,1.41,4,2,medium
80,packages/react-devtools-extensions/src/contentScript.js,1.41,2,3,medium
0,packages/react-devtools-scheduling-profiler/src/import-worker/preprocessData.js,1.41,1,18,medium
160,scripts/flow/environment.js,1.41,4,2,medium
81,packages/react-devtools/CONTRIBUTING.md,1.40,5,2,medium
150,packages/react-devtools-shared/src/__tests__/profilingHostRoot-test.js,1.40,4,2,medium
163,packages/react-devtools-shared/src/dynamicImportCache.js,1.40,1,3,medium
141,packages/react-devtools-shared/src/devtools/views/SearchInput.js,1.39,4,2,medium
151,packages/react-server/src/ReactFlightServerConfigStream.js,1.38,1,3,medium
139,packages/jest-react/src/internalAct.js,1.38,4,2,medium
129,packages/react-native-renderer/src/ReactFabricEventEmitter.js,1.37,4,2,medium
68,packages/react-devtools-shared/src/devtools/views/Toggle.js,1.37,5,2,medium
139,packages/react-devtools-shared/src/devtools/views/Components/types.js,1.37,1,3,medium
17,packages/shared/ReactVersion.js,1.37,4,3,medium
612,packages/eslint-plugin-react-hooks/src/RulesOfHooks.js,1.37,2,2,medium
61,packages/react-dom/README.md,1.37,2,3,medium
121,packages/react-devtools-inline/src/backend.js,1.36,4,2,medium
57,packages/react-dom/client.js,1.36,2,3,medium
114,packages/react-server/src/ReactFlightHooks.js,1.36,4,2,medium
0,packages/react-devtools-scheduling-profiler/src/import-worker/__tests__/preprocessData-test.internal.js,1.35,1,16,medium
111,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementPropsTree.js,1.35,4,2,medium
15,scripts/eslint-rules/index.js,1.35,4,3,medium
103,packages/react-devtools-timeline/src/timelineCache.js,1.34,4,2,medium
467,packages/react-reconciler/src/__tests__/ReactUpdaters-test.internal.js,1.34,2,2,medium
51,packages/react-devtools-shared/src/devtools/views/portaledContent.js,1.33,5,2,medium
23,packages/scheduler/src/forks/SchedulerFeatureFlags.www.js,1.32,3,3,medium
48,scripts/eslint-rules/__tests__/no-primitive-constructors-test.internal.js,1.32,5,2,medium
400,packages/react-devtools-shared/src/devtools/views/Profiler/CommitTreeBuilder.js,1.32,2,2,medium
163,packages/react-devtools-timeline/src/TimelineSearchContext.js,1.31,3,2,medium
951,packages/react-devtools-shared/src/hooks/__tests__/parseHookNames-test.js,1.31,1,2,medium
348,packages/react-native-renderer/src/legacy-events/SyntheticEvent.js,1.30,2,2,medium
42,scripts/jest/setupTests.www.js,1.30,5,2,medium
76,scripts/release/shared-commands/get-build-id-for-commit.js,1.30,4,2,medium
0,packages/react-devtools-scheduling-profiler/package.json,1.29,1,14,medium
147,packages/react/src/ReactBaseClasses.js,1.29,3,2,medium
328,packages/react-devtools-shared/src/backend/NativeStyleEditor/setupNativeStyleEditor.js,1.29,2,2,medium
5278,fixtures/ssr2/yarn.lock,1.29,5,1,medium
72,packages/react-devtools-shell/src/multi/devtools.js,1.29,4,2,medium
39,packages/react-dom/npm/unstable_testing.js,1.29,5,2,medium
71,packages/react-reconciler/src/ReactFiberHiddenContext.old.js,1.29,4,2,medium
141,packages/use-sync-external-store/src/useSyncExternalStoreShimClient.js,1.29,3,2,medium
133,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/shared.css,1.28,3,2,medium
131,packages/react-server/src/ReactServerStreamConfigBrowser.js,1.28,3,2,medium
286,scripts/release/utils.js,1.28,2,2,medium
34,packages/react-debug-tools/package.json,1.27,5,2,medium
64,scripts/rollup/validate/eslintrc.esm.js,1.26,1,3,medium
59,scripts/release/publish-commands/parse-params.js,1.26,4,2,medium
30,packages/react-reconciler/src/ReactFiberHostConfigWithNoPersistence.js,1.26,2,3,medium
635,packages/react-dom/src/shared/DOMProperty.js,1.26,1,2,medium
60,scripts/rollup/validate/eslintrc.fb.js,1.25,1,3,medium
109,packages/react-reconciler/src/ReactMutableSource.new.js,1.25,3,2,medium
56,scripts/rollup/validate/eslintrc.rn.js,1.24,1,3,medium
545,packages/react/src/__tests__/ReactElement-test.js,1.24,1,2,medium
51,scripts/jest/matchers/toThrow.js,1.24,4,2,medium
51,packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/ReactNativePrivateInterface.js,1.24,4,2,medium
210,packages/react-dom/src/__tests__/ReactWrongReturnPointer-test.js,1.24,2,2,medium
49,packages/react-devtools-timeline/src/utils/getBatchRange.js,1.24,4,2,medium
93,packages/react-devtools-shared/src/__tests__/componentStacks-test.js,1.23,3,2,medium
24,packages/react/src/ReactCurrentBatchConfig.js,1.23,2,3,medium
0,packages/react-devtools-scheduling-profiler/src/content-views/constants.js,1.23,1,12,medium
182,packages/use-sync-external-store/src/__tests__/useSyncExternalStoreNative-test.js,1.22,2,2,medium
46,packages/shared/__tests__/ReactSymbols-test.internal.js,1.22,1,3,medium
82,packages/react-server-dom-relay/src/ReactFlightDOMRelayClientHostConfig.js,1.22,3,2,medium
81,CODE_OF_CONDUCT.md,1.21,3,2,medium
160,packages/react-fetch/src/ReactFetchBrowser.js,1.20,2,2,medium
346,packages/react-devtools-timeline/src/view-base/View.js,1.19,1,2,medium
38,packages/react/README.md,1.19,1,3,medium
141,packages/react-client/src/ReactFlightClientStream.js,1.19,2,2,medium
35,packages/react/src/ReactMutableSource.js,1.19,4,2,medium
0,packages/react-devtools-scheduling-profiler/src/CanvasPage.js,1.19,1,11,medium
0,packages/react-reconciler/src/SchedulingProfiler.js,1.19,1,11,medium
0,packages/react-devtools-scheduling-profiler/src/types.js,1.19,1,11,medium
0,packages/react-devtools-scheduling-profiler/src/EventTooltip.js,1.19,1,11,medium
331,packages/react-debug-tools/src/__tests__/ReactHooksInspection-test.js,1.19,1,2,medium
137,packages/react-reconciler/src/__tests__/ReactUpdatePriority-test.js,1.19,2,2,medium
33,packages/react-server-native-relay/src/ReactFlightNativeRelayServer.js,1.18,4,2,medium
300,packages/react-reconciler/src/__tests__/ReactDeferredValue-test.js,1.18,1,2,medium
32,packages/react-devtools-shell/src/e2e-regression/app.js,1.18,4,2,medium
32,packages/react-devtools-timeline/src/import-worker/index.js,1.18,4,2,medium
60,packages/shared/consoleWithStackDev.js,1.17,3,2,medium
125,packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/ReactNativeViewConfigRegistry.js,1.17,2,2,medium
59,packages/react-dom/src/server/ReactDOMLegacyServerStreamConfig.js,1.17,3,2,medium
33,packages/react-devtools-shell/package.json,1.17,1,3,medium
57,scripts/jest/devtools/setupEnv.js,1.17,3,2,medium
30,scripts/devtools/README.md,1.17,4,2,medium
30,packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,1.17,4,2,medium
267,packages/react-devtools/app.html,1.16,1,2,medium
260,packages/react-devtools-timeline/src/content-views/NativeEventsView.js,1.16,1,2,medium
258,packages/react-devtools-shared/src/hooks/SourceMapConsumer.js,1.16,1,2,medium
1314,packages/react-reconciler/src/__tests__/ReactIncrementalSideEffects-test.js,1.16,5,1,medium
26,packages/react-devtools-shared/src/devtools/views/ThemeProvider.js,1.15,4,2,medium
0,packages/react-devtools-extensions/src/__tests__/parseHookNames-test.js,1.15,1,10,medium
0,packages/react-devtools-extensions/src/parseHookNames/parseHookNames.js,1.15,1,10,medium
0,packages/react-devtools-shared/src/__tests__/__snapshots__/profilingCache-test.js.snap,1.15,1,10,medium
0,packages/react-dom/src/server/ReactPartialRendererHooks.js,1.15,1,10,medium
47,packages/react-devtools-shared/src/devtools/views/Button.js,1.14,3,2,medium
47,scripts/devtools/configuration.js,1.14,3,2,medium
223,packages/react/src/ReactAct.js,1.14,1,2,medium
216,packages/react-dom/src/__tests__/ReactMultiChildText-test.js,1.14,1,2,medium
7,fixtures/ssr/src/index.js,1.14,3,3,medium
91,packages/react-devtools-shell/src/app/devtools.js,1.13,2,2,medium
2348,fixtures/attribute-behavior/src/attributes.js,1.13,4,1,medium
43,packages/react-devtools-shell/src/app/console.js,1.13,3,2,medium
198,packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/UIManager.js,1.13,1,2,medium
82,packages/react-server-native-relay/src/ReactFlightNativeRelayClientHostConfig.js,1.12,2,2,medium
187,scripts/release/README.md,1.12,1,2,medium
182,packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/InitializeNativeFabricUIManager.js,1.12,1,2,medium
21,packages/react-devtools-timeline/src/constants.js,1.12,4,2,medium
22,packages/scheduler/src/forks/SchedulerFeatureFlags.www-dynamic.js,1.11,1,3,medium
844,packages/react-refresh/src/ReactFreshBabelPlugin.js,1.11,5,1,medium
75,scripts/error-codes/extract-errors.js,1.11,2,2,medium
1662,packages/react-reconciler/src/__tests__/ReactNewContext-test.js,1.10,4,1,medium
153,packages/react-devtools-shared/src/__tests__/profilerChangeDescriptions-test.js,1.10,1,2,medium
153,packages/scheduler/npm/umd/scheduler.development.js,1.10,1,2,medium
67,packages/react-devtools-shared/src/devtools/views/Profiler/SidebarEventInfo.css,1.10,2,2,medium
33,packages/react-noop-renderer/package.json,1.10,3,2,medium
147,packages/scheduler/npm/umd/scheduler.production.min.js,1.09,1,2,medium
17,packages/react-server-native-relay/package.json,1.09,4,2,medium
138,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/cache.js,1.09,1,2,medium
645,packages/use-subscription/src/__tests__/useSubscription-test.js,1.09,5,1,medium
131,packages/react-reconciler/src/getComponentNameFromFiber.js,1.08,1,2,medium
29,packages/react-devtools-shared/src/hooks/__tests__/__source__/ContainingStringSourceMappingURL.js,1.08,3,2,medium
29,fixtures/dom/package.json,1.08,3,2,medium
127,scripts/rollup/shims/react-native/ReactNativeViewConfigRegistry.js,1.08,1,2,medium
16,packages/scheduler/src/SchedulerFeatureFlags.js,1.07,1,3,medium
2830,packages/react-dom/src/__tests__/ReactDOMEventPropagation-test.js,1.07,3,1,medium
1107,packages/react-dom/src/__tests__/ReactDOMConsoleErrorReporting-test.js,1.06,4,1,medium
503,packages/react-dom/src/shared/possibleStandardNames.js,1.06,5,1,medium
50,fixtures/ssr/src/components/Chrome.js,1.06,2,2,medium
109,packages/react-reconciler/src/ReactMutableSource.old.js,1.06,1,2,medium
25,packages/react-dom/index.experimental.js,1.06,3,2,medium
473,packages/react-devtools-shared/src/__tests__/storeComponentFilters-test.js,1.06,5,1,medium
46,packages/react-devtools-timeline/src/utils/formatting.js,1.05,2,2,medium
0,packages/react-dom/src/server/ReactPartialRenderer.js,1.05,1,8,medium
0,packages/react-devtools-extensions/src/astUtils.js,1.05,1,8,medium
0,packages/react-reconciler/src/__tests__/SchedulingProfiler-test.internal.js,1.05,1,8,medium
0,.eslintrc.js,1.05,1,8,medium
443,packages/react-reconciler/src/__tests__/ReactSuspenseFuzz-test.internal.js,1.05,5,1,medium
97,packages/react-devtools-shared/src/backend/DevToolsFiberComponentStack.js,1.05,1,2,medium
407,fixtures/dom/src/components/fixtures/error-handling/index.js,1.04,5,1,medium
91,packages/react/src/__tests__/ReactStartTransition-test.js,1.04,1,2,medium
2015,packages/react-refresh/src/__tests__/ReactFreshIntegration-test.js,1.04,3,1,medium
88,scripts/flow/runFlow.js,1.04,1,2,medium
817,packages/react-reconciler/src/__tests__/ReactIncrementalUpdates-test.js,1.04,4,1,medium
366,packages/react-devtools-shared/src/__tests__/profilerContext-test.js,1.03,5,1,medium
359,packages/react/src/jsx/ReactJSXElement.js,1.03,5,1,medium
756,fixtures/flight/config/webpack.config.js,1.03,4,1,medium
350,packages/react-devtools-shared/src/hooks/__tests__/updateMockSourceMaps.js,1.03,5,1,medium
737,packages/react-refresh/src/ReactFreshRuntime.js,1.03,4,1,medium
342,packages/react-reconciler/src/ReactFiberContext.old.js,1.02,5,1,medium
702,packages/react/src/__tests__/ReactTypeScriptClass-test.ts,1.02,4,1,medium
698,packages/react-server/src/ReactFizzClassComponent.js,1.02,4,1,medium
681,packages/react-refresh/src/__tests__/__snapshots__/ReactFreshBabelPlugin-test.js.snap,1.02,4,1,medium
315,scripts/jest/setupTests.js,1.02,5,1,medium
310,packages/react-dom/src/__tests__/ReactDOMTextComponent-test.js,1.01,5,1,medium
72,scripts/jest/config.build.js,1.01,1,2,medium
639,packages/react-reconciler/src/__tests__/StrictEffectsModeDefaults-test.internal.js,1.01,4,1,medium
1472,packages/react-dom/src/__tests__/ReactDOMTestSelectors-test.js,1.01,3,1,medium
298,packages/react-devtools-timeline/src/view-base/VerticalScrollView.js,1.01,5,1,medium
68,packages/react-devtools-shared/src/backend/ReactSymbols.js,1.01,1,2,medium
32,packages/react/src/ReactSharedInternals.js,1.01,2,2,medium
275,packages/react-devtools-shared/src/hooks/getHookNameForLocation.js,1.00,5,1,medium
565,packages/react-refresh/src/__tests__/ReactFreshBabelPlugin-test.js,1.00,4,1,medium
266,scripts/eslint-rules/__tests__/safe-string-coercion-test.internal.js,1.00,5,1,low
550,packages/react/src/__tests__/ReactCoffeeScriptClass-test.coffee,1.00,4,1,low
255,packages/react-native-renderer/src/legacy-events/EventPluginRegistry.js,1.00,5,1,low
0,packages/react-devtools-scheduling-profiler/src/content-views/SuspenseEventsView.js,0.99,1,7,low
0,packages/react/unstable-shared-subset.experimental.js,0.99,1,7,low
55,scripts/babel/transform-object-assign.js,0.98,1,2,low
55,scripts/eslint-rules/no-primitive-constructors.js,0.98,1,2,low
1048,packages/eslint-plugin-react-hooks/__tests__/ESLintRulesOfHooks-test.js,0.98,3,1,low
1015,fixtures/attribute-behavior/src/App.js,0.98,3,1,low
436,packages/react-dom/src/events/plugins/__tests__/SimpleEventPlugin-test.js,0.98,4,1,low
213,packages/react-devtools-shared/src/devtools/utils.js,0.98,5,1,low
209,packages/react-dom/src/client/ReactDOMSelect.js,0.98,5,1,low
422,packages/react-dom/src/__tests__/ReactDOMFizzStaticNode-test.js,0.97,4,1,low
47,packages/react-devtools-timeline/src/createDataResourceFromImportedFile.js,0.97,1,2,low
2170,packages/react-dom/src/__tests__/ReactDOMInput-test.js,0.96,2,1,low
358,packages/react-dom/src/__tests__/renderSubtreeIntoContainer-test.js,0.96,4,1,low
44,packages/react-devtools-extensions/src/utils.js,0.96,1,2,low
174,packages/react-native-renderer/src/legacy-events/EventPluginUtils.js,0.96,5,1,low
345,scripts/eslint-rules/safe-string-coercion.js,0.96,4,1,low
164,packages/react-devtools-timeline/src/content-views/TimeAxisMarkersView.js,0.95,5,1,low
734,packages/react-dom/src/__tests__/ReactDOMTextarea-test.js,0.95,3,1,low
1831,packages/react-dom/src/__tests__/ReactCompositeComponent-test.js,0.95,2,1,low
6,packages/use-sync-external-store/README.md,0.95,4,2,low
160,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/react-sources-extended/index-map/ToDoList.js,0.95,5,1,low
160,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/ToDoList.js,0.95,5,1,low
160,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/fb-sources-extended/index-map/ToDoList.js,0.95,5,1,low
40,packages/react-devtools-shared/src/devtools/views/Components/ComponentSearchInput.js,0.95,1,2,low
313,packages/react-devtools-shared/src/devtools/views/Components/OwnersStack.js,0.95,4,1,low
5255,fixtures/fizz/yarn.lock,0.95,1,1,low
311,packages/react-reconciler/src/__tests__/ReactSchedulerIntegration-test.js,0.95,4,1,low
39,scripts/jest/setupEnvironment.js,0.95,1,2,low
151,packages/react-devtools-timeline/src/view-base/Surface.js,0.94,5,1,low
147,fixtures/concurrent/time-slicing/src/index.js,0.94,5,1,low
286,packages/react-devtools-shell/src/app/InspectableElements/Contexts.js,0.94,4,1,low
141,packages/react-devtools-shared/src/devtools/ContextMenu/ContextMenu.js,0.94,5,1,low
139,packages/react-devtools-shared/src/devtools/views/UnsupportedBridgeProtocolDialog.js,0.94,5,1,low
131,packages/react-devtools-core/README.md,0.93,5,1,low
0,packages/react-reconciler/src/ReactUpdateQueue.new.js,0.93,1,6,low
0,packages/react-devtools-scheduling-profiler/src/view-base/VerticalScrollView.js,0.93,1,6,low
0,packages/react-devtools-scheduling-profiler/src/content-views/index.js,0.93,1,6,low
0,packages/react-devtools-scheduling-profiler/src/content-views/ReactMeasuresView.js,0.93,1,6,low
0,packages/react-devtools-scheduling-profiler/src/view-base/View.js,0.93,1,6,low
0,packages/react-devtools-scheduling-profiler/src/view-base/ResizableView.js,0.93,1,6,low
0,packages/react-reconciler/src/ReactUpdateQueue.old.js,0.93,1,6,low
254,packages/react-devtools-timeline/src/view-base/useCanvasInteraction.js,0.93,4,1,low
538,packages/react-art/src/__tests__/ReactART-test.js,0.93,3,1,low
246,packages/react-devtools-timeline/src/view-base/HorizontalPanAndZoomView.js,0.93,4,1,low
536,packages/react-dom/src/__tests__/ReactDOMServerIntegrationNewContext-test.js,0.93,3,1,low
124,packages/react-dom/src/events/DOMEventNames.js,0.92,5,1,low
244,packages/react-devtools-timeline/src/content-views/UserTimingMarksView.js,0.92,4,1,low
123,fixtures/dom/src/components/fixtures/media-events/index.js,0.92,5,1,low
123,scripts/eslint-rules/__tests__/no-cross-fork-imports-test.internal.js,0.92,5,1,low
241,packages/react-devtools-shared/src/__tests__/storeOwners-test.js,0.92,4,1,low
1287,packages/react-dom/src/__tests__/ReactDOMSelect-test.js,0.92,2,1,low
238,packages/react-dom/src/__tests__/ReactDOMFizzStatic-test.js,0.92,4,1,low
237,packages/react-native-renderer/src/ReactNativeEventEmitter.js,0.92,4,1,low
230,packages/react-devtools-shared/src/devtools/views/Profiler/SnapshotSelector.js,0.92,4,1,low
226,packages/react-devtools-timeline/src/view-base/layouter.js,0.92,4,1,low
216,packages/react-is/src/__tests__/ReactIs-test.js,0.91,4,1,low
110,scripts/merge-fork/merge-fork.js,0.91,5,1,low
107,scripts/jest/typescript/preprocessor.js,0.91,5,1,low
105,packages/react/src/ReactServerContext.js,0.91,5,1,low
439,packages/react-devtools-shared/src/devtools/views/Settings/ComponentsSettings.js,0.91,3,1,low
104,packages/react-server-dom-webpack/src/ReactFlightDOMClient.js,0.91,5,1,low
102,packages/react-devtools-shared/src/devtools/views/Components/EditableName.js,0.91,5,1,low
194,packages/react-devtools-timeline/src/view-base/resizable/ResizeBarView.js,0.90,4,1,low
1004,packages/react-dom/src/__tests__/ReactDOMEventListener-test.js,0.90,2,1,low
13,packages/use-sync-external-store/index.js,0.90,2,2,low
398,packages/react-interactions/events/src/dom/create-event-handle/Focus.js,0.90,3,1,low
93,scripts/eslint-rules/__tests__/warning-args-test.internal.js,0.90,5,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/fb-sources-extended/index.js,0.89,5,1,low
170,packages/react-dom/src/client/ReactDOMTextarea.js,0.89,4,1,low
359,packages/react-server-dom-webpack/src/ReactFlightWebpackPlugin.js,0.89,3,1,low
169,packages/react-native-renderer/src/ReactNativeGetListeners.js,0.89,4,1,low
12,scripts/flow/xplat.js,0.89,2,2,low
168,packages/react-dom/src/events/plugins/EnterLeaveEventPlugin.js,0.89,4,1,low
84,packages/react-devtools-shared/src/devtools/views/Settings/DebuggingSettings.js,0.89,5,1,low
160,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/react-sources-extended/ToDoList.js,0.89,4,1,low
83,packages/react-dom/src/events/ReactDOMControlledComponent.js,0.89,5,1,low
83,packages/react-dom/src/server/DOMMarkupOperations.js,0.89,5,1,low
768,packages/react-dom/src/events/plugins/__tests__/ChangeEventPlugin-test.js,0.88,2,1,low
22,packages/react-devtools-shared/src/devtools/views/Components/ViewSourceContext.js,0.88,1,2,low
151,packages/react-is/src/ReactIs.js,0.88,4,1,low
78,scripts/eslint-rules/__tests__/prod-error-codes-test.internal.js,0.88,5,1,low
76,packages/react-dom/src/__tests__/ReactDOMNestedEvents-test.js,0.88,5,1,low
21,scripts/jest/devtools/preprocessor.js,0.88,1,2,low
302,packages/react-devtools-shared/src/devtools/views/Profiler/SnapshotCommitList.js,0.88,3,1,low
75,packages/react-devtools-shared/src/devtools/views/Profiler/ReloadAndProfileButton.js,0.88,5,1,low
299,packages/react-debug-tools/src/__tests__/ReactDevToolsHooksIntegration-test.js,0.88,3,1,low
142,packages/react/src/__tests__/ReactStrictMode-test.internal.js,0.88,4,1,low
295,packages/react-dom/src/__tests__/ReactIdentity-test.js,0.87,3,1,low
295,scripts/eslint-rules/__tests__/no-production-logging-test.internal.js,0.87,3,1,low
294,packages/react-reconciler/src/__tests__/ReactCPUSuspense-test.js,0.87,3,1,low
682,packages/react-devtools-shared/src/__tests__/legacy/editing-test.js,0.87,2,1,low
134,packages/react-devtools-shared/src/__tests__/events-test.js,0.87,4,1,low
279,packages/react-devtools-shared/src/devtools/views/ButtonIcon.js,0.87,3,1,low
70,packages/react-devtools-timeline/src/content-views/utils/moduleFilters.js,0.87,5,1,low
68,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/index-map/ComponentWithCustomHook.js,0.87,5,1,low
68,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/ComponentWithCustomHook.js,0.87,5,1,low
589,packages/react/src/__tests__/ReactES6Class-test.js,0.86,2,1,low
247,packages/react-art/src/__tests__/__snapshots__/ReactART-test.js.snap,0.86,3,1,low
63,packages/shared/forks/Scheduler.umd.js,0.86,5,1,low
564,packages/react-dom/src/events/SyntheticEvent.js,0.86,2,1,low
61,packages/react-devtools-shared/src/__tests__/__serializers__/hookSerializer.js,0.86,5,1,low
61,scripts/shared/evalToString.js,0.86,5,1,low
236,packages/react-reconciler/src/__tests__/ReactFlushSync-test.js,0.86,3,1,low
236,packages/react-fetch/src/ReactFetchNode.js,0.86,3,1,low
0,packages/use-sync-external-store/src/useSyncExternalStoreExtra.js,0.86,1,5,low
0,packages/react-devtools-extensions/src/__tests__/updateMockSourceMaps.js,0.86,1,5,low
0,packages/react-devtools-extensions/src/checkForDuplicateInstallations.js,0.86,1,5,low
0,packages/react-devtools-scheduling-profiler/src/EventTooltip.css,0.86,1,5,low
0,packages/react-devtools-scheduling-profiler/src/content-views/SnapshotsView.js,0.86,1,5,low
0,packages/react-devtools-scheduling-profiler/src/content-views/utils/text.js,0.86,1,5,low
0,packages/react-devtools-scheduling-profiler/src/SchedulingProfiler.js,0.86,1,5,low
60,scripts/release/check-release-dependencies.js,0.85,5,1,low
57,packages/react-devtools-shell/multi.html,0.85,5,1,low
56,packages/react-devtools-shell/src/e2e-apps/ListAppLegacy.js,0.85,5,1,low
56,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/fb-sources-extended/index-map/ComponentUsingHooksIndirectly.js,0.85,5,1,low
56,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/index-map/ComponentUsingHooksIndirectly.js,0.85,5,1,low
56,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/fb-sources-extended/index-map/ComponentUsingHooksIndirectly.js,0.85,5,1,low
56,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/react-sources-extended/ComponentUsingHooksIndirectly.js,0.85,5,1,low
103,scripts/flow/react-relay-hooks.js,0.85,4,1,low
55,packages/react-devtools-shell/src/e2e-regression/devtools.js,0.85,5,1,low
54,fixtures/fizz/package.json,0.84,5,1,low
54,fixtures/ssr2/package.json,0.84,5,1,low
52,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/TimeoutView.js,0.84,5,1,low
52,packages/react-dom/src/shared/dangerousStyleValue.js,0.84,5,1,low
197,packages/react-devtools-shared/src/backend/views/Highlighter/index.js,0.84,3,1,low
51,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/UnsupportedBridgeOperationView.js,0.84,5,1,low
51,packages/react-reconciler/src/ReactFiberWakeable.old.js,0.84,5,1,low
189,packages/react-art/npm/Wedge.js,0.84,3,1,low
92,packages/react-dom/src/__tests__/__snapshots__/ReactTestUtils-test.js.snap,0.84,4,1,low
92,packages/react-devtools-timeline/src/view-base/vertical-scroll-overflow/VerticalScrollOverflowView.js,0.84,4,1,low
91,packages/react-devtools-extensions/improveImages.mjs,0.84,4,1,low
413,packages/react-dom/src/__tests__/ReactDOMFizzStaticBrowser-test.js,0.83,2,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/react-sources-extended/index-map/index.js,0.83,4,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/no-columns/index.js,0.83,4,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/fb-sources-extended/index.js,0.83,4,1,low
89,packages/react-reconciler/src/__tests__/ReactEffectOrdering-test.js,0.83,4,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/react-sources-extended/index-map/index.js,0.83,4,1,low
89,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/external/fb-sources-extended/index-map/index.js,0.83,4,1,low
89,scripts/rollup/plugins/use-forks-plugin.js,0.83,4,1,low
48,packages/react-interactions/package.json,0.83,5,1,low
407,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/bundle/index.js,0.83,2,1,low
87,packages/react-server-dom-webpack/src/ReactFlightClientWebpackBundlerConfig.js,0.83,4,1,low
385,packages/react-devtools-shared/src/devtools/views/Profiler/utils.js,0.83,2,1,low
379,packages/react-devtools-timeline/src/content-views/FlamechartView.js,0.83,2,1,low
45,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/CaughtErrorView.js,0.83,5,1,low
160,packages/react-devtools-shared/src/hooks/__tests__/__source__/__compiled__/inline/fb-sources-extended/ToDoList.js,0.82,3,1,low
