loc,entity,risk_score,complexity,revisions,risk_factor
406,packages/react-devtools-shared/src/constants.js,3.25,2,14,high
66,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,3.25,2,25,high
33,packages/react-devtools/package.json,3.25,3,25,high
493,packages/react-devtools-shared/src/backend/types.js,3.23,2,13,high
187,packages/react-dom/src/server/ReactDOMServerLegacyFormatConfig.js,3.21,5,9,high
67,packages/react/index.classic.fb.js,3.20,5,12,high
56,packages/react-reconciler/src/ReactFiberOffscreenComponent.js,3.14,5,12,high
146,packages/react-devtools-core/webpack.standalone.js,3.13,5,9,high
209,packages/react-reconciler/src/ReactFiberTracingMarkerComponent.old.js,3.12,2,15,high
453,packages/react-dom/src/client/ReactDOMLegacy.js,3.11,2,12,high
4215,packages/react-reconciler/src/__tests__/ReactSuspenseWithNoopRenderer-test.js,3.09,3,6,high
510,packages/react-dom/src/__tests__/ReactDOMRoot-test.js,3.06,3,9,high
78,packages/react-dom/package.json,3.04,5,10,high
32,packages/react-devtools-timeline/package.json,3.02,5,13,high
290,packages/react-native-renderer/src/ReactFabric.js,3.02,5,7,high
287,packages/react-dom/src/__tests__/ReactDOMFizzShellHydration-test.js,3.02,5,7,high
276,packages/react-devtools-shared/src/backend/utils.js,3.01,5,7,high
1271,packages/react-reconciler/src/ReactFiberClassComponent.old.js,3.00,3,7,high
366,packages/react-devtools-inline/README.md,2.97,3,9,high
232,packages/react-devtools-shared/src/devtools/views/ErrorBoundary/ErrorBoundary.js,2.96,5,7,high
51,packages/react-devtools-inline/package.json,2.96,1,27,high
1436,packages/react-devtools-shared/src/devtools/store.js,2.95,2,8,high
280,packages/react-reconciler/src/ReactFiberUnwindWork.new.js,2.95,1,15,high
59,packages/react-devtools-extensions/firefox/manifest.json,2.94,1,25,high
84,packages/react/index.js,2.93,3,13,high
577,packages/react-server/src/ReactFizzHooks.js,2.92,1,12,high
1985,packages/react-reconciler/src/__tests__/ReactIncrementalErrorHandling-test.internal.js,2.91,3,6,high
49,packages/react/package.json,2.89,5,10,high
617,packages/react-test-renderer/src/ReactTestRenderer.js,2.87,2,9,high
198,packages/react-reconciler/src/ReactFiberReconciler.js,2.87,4,8,high
632,packages/react-dom/src/__tests__/ReactDOMFizzServerNode-test.js,2.85,1,11,high
91,packages/react-devtools-shared/src/Logger.js,2.84,5,8,high
575,packages/react-reconciler/src/__tests__/ReactOffscreenSuspense-test.js,2.82,4,6,high
263,packages/react-dom/src/__tests__/ReactDOMServerSuspense-test.internal.js,2.80,5,6,high
1388,packages/react-reconciler/src/ReactChildFiber.old.js,2.80,4,5,high
133,packages/react-devtools-inline/webpack.config.js,2.80,5,7,high
2113,packages/react-devtools-shared/src/__tests__/store-test.js,2.79,1,8,high
3250,packages/react-dom/src/events/__tests__/DOMPluginEventSystem-test.internal.js,2.79,3,5,high
13676,fixtures/attribute-behavior/AttributeTableSnapshot.md,2.77,5,3,high
513,packages/react-native-renderer/src/ReactNativeHostConfig.js,2.77,3,7,high
1163,packages/react-dom/src/__tests__/ReactServerRendering-test.js,2.76,4,5,high
455,packages/react-devtools-shared/src/bridge.js,2.76,4,6,high
1699,packages/react-dom/src/__tests__/ReactDOMServerSelectiveHydration-test.internal.js,2.75,1,8,high
353,scripts/rollup/build-all-release-channels.js,2.73,2,9,high
905,packages/react-dom/src/__tests__/ReactDOMServerIntegrationHooks-test.js,2.70,4,5,high
200,packages/react-devtools-shared/src/devtools/views/Profiler/Profiler.js,2.69,2,10,high
167,packages/react-devtools-extensions/src/injectGlobalHook.js,2.68,5,6,high
25,packages/use-sync-external-store/package.json,2.67,5,10,high
705,packages/react-reconciler/src/ReactFiberNewContext.old.js,2.66,3,6,high
58,ReactVersions.js,2.66,2,14,high
1184,packages/react-dom/src/__tests__/DOMPropertyOperations-test.js,2.66,5,4,high
55,packages/react/index.experimental.js,2.64,2,14,high
632,packages/scheduler/src/forks/Scheduler.js,2.64,3,6,high
162,packages/react-devtools-extensions/webpack.config.js,2.63,2,10,high
586,packages/react-devtools-shared/src/devtools/views/Components/Tree.js,2.62,3,6,high
306,packages/react-devtools-shared/src/devtools/views/Settings/SettingsContext.js,2.62,5,5,high
